ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
8465,모델이 좋아요,모델,호감도 높음,모델,,
8466,광경,Not enough data,Not enough data,,,
8467,광고의 분위기가 멋집니다.,감성 소구,고급스러움,분위기,,
8468,모델,Not enough data,Not enough data,,,
8469,안전한,Not enough data,Not enough data,,,
8470,모델이별로,모델,호감도 낮음,,모델,
8471,기능성에만 너무 강조된 것 같다,기능성 강조,부정적 평가,기능성,과도한 강조,
8472,이유 없음,없음/모름,,,,
8473,광고 멘트,감성 소구,부정적,광고|멘트,,
8474,가볍고 편안함,제품/브랜드,기능성 강조,가벼움|편안함,,
8475,특별한 느낌이 없다,광고 임팩트,약한 임팩트,,특별한 느낌,
8476,내용이 너무 어렵다,메시지/카피,이해도 낮음,,내용|어려움,
8477,생동감있고 등산화를 설명을 잘해서,광고 구성,긍정적 평가,생동감|설명,,
8478,손석구가 기억남,모델,인지도,손석구,,
8479,평소에 보던 아웃도어광고와 차별점이 없어서,광고 전반,평범함,,차별점,
8480,광고장면,광고 구성,긍정적 평가,광고장면,,
8481,손석구와 잘 어울린다,모델,호감도 높음,손석구|어울림,,
8482,손석구가 신뢰감을 줌,모델,호감도 높음,손석구|신뢰감,,
8483,특별히 기억에 남는 장면이 없다,광고 임팩트,약한 임팩트,,기억에 남는 장면,
8484,의미를 잘모름,없음/모름,,,의미,
8485,모델 네레이션,광고 구성,긍정적 평가,네레이션,,
8486,충격은 흡수하고 편안함만 남는 신발이라 궁금합니다,기능성 강조,긍정적 평가,충격 흡수|편안함,,
8487,광고모델이 잘 어울림,모델,긍정적 평가,광고모델,,
8488,무난해요,광고 임팩트,약한 임팩트,무난함,,
8489,광고모델의 목소리 나레이션이나 연기가 광고에 잘 어울렸다,광고 구성,긍정적 평가,목소리|나레이션|연기,,
8490,광고를 감감적으로 잘 만든 것 같다.,감성 소구,긍정적,감성|광고,,
8491,모델,Not enough data,Not enough data,,,
8492,배경화면이 멋지다,비주얼,배경,배경화면,,
8493,제품의 기능성에 대한 광고가 주는 느낌이 좋다,기능성 강조,긍정적 평가,기능성|느낌,,
8494,모델이 멋짐,모델,호감도 높음,모델,,
8495,평범함,Not enough data,Not enough data,,,
8496,편안함,Not enough data,Not enough data,,,
8497,별로 인상적인 장면이 없음,광고 임팩트,약한 임팩트,,인상적인 장면,
8498,별로다,Not enough data,Not enough data,,,
8499,벅차오르다는 문구는 너무 과한 듯,메시지/카피,부정적 평가,,"""벅차오르다는 문구""",
8500,광고 분위기,감성 소구,긍정적,분위기,,
8501,모델이 신뢰김,모델,호감도 높음,신뢰감|모델,,
8502,요즘 대세 배우인 김수현을 내세워서 광고를 하면서 신뢰감을 극대화하고 있다,모델,호감도 높음,김수현|대세 배우,,
8503,산을 오르는 힘이 들어가는 상황에서도 상쾌해 보인다.,감성 소구,긍정적,상쾌함,힘듦,
8504,모델,Not enough data,Not enough data,,,
8505,일반 타광고와 거의 비슷한 느낌,광고 전반,평범함,타광고,비슷한 느낌,
8506,모델이 좋다,모델,호감도 높음,모델,,
8507,전반적으로평범하다,광고 임팩트,약한 임팩트,,평범함,
8508,멋지다,Not enough data,Not enough data,,,
8509,성능을 시각적으로 잘 표현했다,기능성 강조,긍정적 평가,성능|시각적 표현,,
8510,통기성이 좋음을 강조한 점,기능성 강조,긍정적 평가,통기성,,
8511,자연속을 걷는 모습이 좋다.,시각적 요소,배경,자연|모습,,
8512,시선을 끄는 광고임. 호기심을 일이키는 광고임,광고 임팩트,강한 임팩트,시선|호기심,,
8513,의미 없음,전반적 평가,부정적,,의미,
8514,광고맨트가 좋다,메시지/카피,긍정적 평가,광고맨트,,
8515,김수현 친근하다,감성 소구,친근함,김수현|친근함,,
8516,신어보고 싶고,구매 의도,긍정적,신발|구매 의도,,
8517,모델이 광고와 잘 어울린다. 제품 자체의 특장점은 잘 드러나지 않은 광고같다.,모델,긍정적 평가,모델,제품 특장점,
8518,모델이 김수현이 좋고 신뢰가 있어 보인다,모델,호감도 높음,김수현|신뢰,,
8519,프레쉬함,광고 전반,신선함,프레쉬함,,
8520,보통임,Not enough data,Not enough data,,,
8521,귀에 쏙 안들어와서,광고 임팩트,약한 임팩트,,귀,
8522,편안한 착용감,제품/브랜드,기능성 강조,착용감|편안함,,
8523,경쾌해 보여서,감성 소구,긍정적,경쾌함,,
8524,광고음악이 경쾌하다,음악/사운드,긍정적 평가,경쾌함,,
8525,배경이 좋다,비주얼,배경,배경,,
8526,김수현이 너무 잘생겨서 확실히 눈이 너무 돌아갑니다,모델,호감도 높음,김수현|눈,,
8527,특징 없음,광고 임팩트,약한 임팩트,,특징,
8528,배경,Not enough data,Not enough data,,,
8529,너무 비현실적이다.,광고 전반,비현실적,,비현실성,
8530,전문적이 면이 보여서 좋음,전문성,긍정적 평가,전문성|면,,
8531,모델,Not enough data,Not enough data,,,
8532,평범한 이야기,광고 임팩트,약한 임팩트,,평범함,
8533,통기 기능이 그래픽으로 잘 표현되었다,기능성 강조,긍정적 평가,통기 기능|그래픽,,
8534,독특한 느낌이 들어서,광고 전반,신선함,독특함,,
8535,숲 속에 들어간 느낌이다,감성 소구,긍정적,숲|느낌,,
8536,간결하게 내용 전달,감성 소구,긍정적,간결함|내용 전달,,
8537,모델,Not enough data,Not enough data,,,
8538,발도 숨을 쉰다,감성 소구,긍정적,발,숨,
8539,다른 광고와 크게 차이점이 없는것 같다,광고 전반,평범함,,차이점,
8540,모델,Not enough data,Not enough data,,,
8541,모델 김수현,모델,호감도 높음,김수현,,
8542,시선을 끌지 못 해서,광고 임팩트,약한 임팩트,,시선,
8543,보통으로 느껴져서,광고 임팩트,약한 임팩트,,평범함,
8544,김수현,Not enough data,Not enough data,,,
8545,밝은 분위기와 모델이 마음에 든다,감성 소구,긍정적,분위기|모델,,
8546,김수현이랑 잘 어울림,모델,호감도 높음,김수현|어울림,,
8547,기억이 잘 나지않음,광고 전반,기억에 남지 않음,,기억,
8548,모델과 영상이 좋음,광고 전반,몰입도,모델|영상,,
8549,360도,Not enough data,Not enough data,,,
8550,모델이 좋다,모델,호감도 높음,모델,,
8551,쾌적함,Not enough data,Not enough data,,,
8552,광고속 설명하는 목소리가 명확하다,메시지/카피,이해도 높음,목소리|명확성,,
8553,약간의정보제공,광고 구성,부정적 평가,,정보 제공,
8554,표현능력에 의문이간다,광고 구성,부정적 평가,,표현능력,
8555,살아숨쉬는 것 같은 배경 효과,비주얼,배경,배경 효과,,
8556,신발의 특징과 장점을 알 수 있었다.,제품/브랜드,기능성 강조,신발|특징|장점,,
8557,신발장면에서 숨쉰다길래 신발 안쪽이 숨쉬어서 발이 상쾌하다고 할줄알았는데 밑창이 숨쉬는 장면으로 들어가길래 거기가 숨쉬어도 무슨상관인가 생각했다,광고 구성,부정적 평가,신발|발,밑창,
8558,번잡함,Not enough data,Not enough data,,,
8559,제품 특성을 잘 표현한것 같다,제품/브랜드,기능성 강조,제품 특성,,
8560,모델과 잘 어울린다,모델,호감도 높음,모델|어울림,,
8561,파격적인 행동,광고 임팩트,강한 임팩트,파격적|행동,,
8562,광고에 눈을 끄는 특이한 점이 없다,광고 임팩트,약한 임팩트,,특이한 점,
8563,쿠션감이 좋아보인다,제품/브랜드,기능성 강조,쿠션감,,
8564,오랫동안 신어도 시원함을 유지시켜주는거 같다,기능성 강조,긍정적 평가,시원함|유지,,
8565,무슨내용인지,광고 전반,기억에 남지 않음,,내용,
8566,평범함,Not enough data,Not enough data,,,
8567,편안해보인다,감성 소구,긍정적,편안함,,
8568,모델과 안맞다,모델,부정적 평가,,모델|안맞음,
8569,통기성을 강조한 영상,기능성 강조,통기성,통기성,,
8570,김수현이 나와서 신발에 기능 설명하는 장면,광고 구성,긍정적 평가,김수현|신발|기능,,
8571,제품의 장점을 잘 보여준다,제품/브랜드,기능성 강조,장점,,
8572,심심해요,광고 임팩트,약한 임팩트,,심심함,
8573,보통입니다,전반적 평가,중립적,,,
8574,특징이 없는 광고이다,광고 임팩트,약한 임팩트,,특징,
8575,이유 없음,없음/모름,,,,
8576,모델 배경,감성 소구,긍정적,모델|배경,,
8577,기능에 적합한 신발 프로모션,제품/브랜드,기능성 강조,신발|프로모션,,
8578,청량함,Not enough data,Not enough data,,,
8579,평범한 광고,광고 임팩트,약한 임팩트,,평범함,
8580,무엇을 어필하려는지 모르겠다,광고 구성,부정적 평가,,어필,
8581,오래지 않아 땀이 흐를것 같은 느낌이 즐거운 트레킹을 했을 것 같은 느낌이 들었다.,감성 소구,긍정적,즐거운 트레킹|오래지 않아 땀이 흐를 것 같은 느낌,,
8582,처음 보아서,광고 임팩트,약한 임팩트,처음,,
8583,쿠션이 있어서 착화감이 편해보인다,제품/브랜드,기능성 강조,쿠션|착화감,,
8584,평범하다,광고 임팩트,약한 임팩트,,평범함,
8585,모델 김수현이 호의적인 것 빼고는 인상에 남는게 없어요,광고 임팩트,약한 임팩트,김수현,,
8586,외부활동을 별로 안 해서 관심이 없음,전반적 평가,부정적,외부활동,관심,
8587,모델의 얼굴에서 느껴지는 편안한 표정이 마음에 든다.,감성 소구,긍정적,편안한 표정|모델,,
8588,모델,Not enough data,Not enough data,,,
8589,모델이 신뢰가 감,모델,부정적 평가,모델,신뢰감,
8590,별로 기억에 남지 않는 것 같다 광고가 좀 밋밋하다,광고 임팩트,약한 임팩트,,기억|광고,
8591,무엇을 광고하는 건지 명확해서 좋고 모델이랑 잘 어울린다,광고 구성,긍정적 평가,명확성|모델 어울림,,
8592,재미가 없어서,광고 임팩트,약한 임팩트,,재미,
8593,광고가 짧다,광고 구성,부정적 평가,,광고|짧음,
8594,별로다,Not enough data,Not enough data,,,
8595,비슷비슷해서 기억에 안 남음,광고 임팩트,약한 임팩트,,기억력|인상,
8596,산뜻해보임,감성 소구,긍정적,산뜻함,,
8597,신선해보인다,광고 전반,신선함,신선함,,
8598,모델과 제품이 잘 어울려요,모델,긍정적 평가,모델|제품,,
8599,너무 짧다,광고 임팩트,약한 임팩트,,짧음,
8600,주 기능에 대한 설명을 쉽고 직관적으로 해주기 때문에 마음에 든다.,메시지/카피,이해도 높음,설명|기능|직관적,,
8601,신발을 재밌게 표현해서,광고 구성,긍정적 평가,신발|재미,,
8602,깔끔하고 보기좋고 알기쉽다,광고 구성,긍정적 평가,깔끔함|보기좋음|알기쉬움,,
8603,운동할때 가볍고 편해서,제품/브랜드,기능성 강조,가벼움|편함,,
8604,에어슈즈,제품/브랜드,디자인,에어슈즈,,
8605,숨을 쉰다,감성 소구,긍정적,숨|쉼,,
8606,별로,Not enough data,Not enough data,,,
8607,쿠션좋아,제품/브랜드,긍정적 평가,쿠션,,
8608,그냥 그렇다,전반적 평가,중립적,,,
8609,김수현 말고는 딱히 인상적인 부분은없다,광고 임팩트,약한 임팩트,김수현,인상적인 부분,
8610,기능을 잘 설명해서,감성 소구,긍정적,기능|설명,,
8611,숨을 쉬는 느낌이 좋다,감성 소구,긍정적,숨|느낌,,
8612,특별히 받은 인상이 없음,광고 임팩트,약한 임팩트,,인상,
8613,오래 모델을 한 것 같은 느낌이라서 브랜드 이미지가 떠오름,모델,호감도 높음,브랜드 이미지,,
8614,과장된 광고,광고 전반,평범함,,과장,
8615,기존 아웃도어 광고와 다르지않다,광고 전반,평범함,,차별성,
8616,산에 가는척 볼링하러 가는 모델같음,광고 구성,부정적 평가,,산|모델|볼링,
8617,360도 에어로 시스템,기능성 강조,기술력,에어로 시스템,,
8618,제품설명이 자세함,광고 구성,긍정적 평가,제품설명|자세함,,
8619,에어로 기능에 대해 좀더 강조되는 장면이 있었으면 좋을 듯 함,기능성 강조,부정적 평가,,에어로 기능|강조,
8620,제품에 눈이 잘 가고 신선한 느낌,광고 임팩트,강한 임팩트,눈|신선한 느낌,,
8621,모델이 마음에 든다,모델,호감도 높음,모델,,
8622,꽤 괜찮은 광고 같아서,전반적 평가,긍정적,괜찮음,,
8623,모델의 이미지가 좋아서,모델,호감도 높음,모델|이미지,,
8624,신발 스타일이 잘 보여서 좋다,비주얼,배경,신발 스타일,,
8625,배경음악이 좋음,음악/사운드,긍정적 평가,배경음악,,
8626,신발의 기능성에 초점을 맞춘 보통의 아웃도어 광고와 다를 바 없어서,광고 전반,평범함,,아웃도어 광고|기능성,
8627,광고 장면이 마음에 든다,광고 구성,긍정적 평가,광고 장면,,
8628,문구가 눈에 확 들어온다,메시지/카피,독창성,문구|눈,,
8629,하이킹신발에 필요한 정보를 잘 알려준 것 같다,기능성 강조,긍정적 평가,정보|하이킹신발,,
8630,신발에 에어로 편할것 같아서,제품/브랜드,기능성 강조,에어로|편함,,
8631,에어로쿠션에 대한 특장점을 잘 부각하여 광고한다,기능성 강조,긍정적 평가,에어로쿠션|특장점,,
8632,모델이 좋다,모델,호감도 높음,모델,,
8633,앞선 광고 대비 특별한 느낌이 없네요,광고 임팩트,약한 임팩트,,특별한 느낌,
